Friends(1994–2004),8.9,958051
The Big Bang Theory(2007–2019),8.2,786633
How I Met Your Mother(2005–2014),8.3,666208
The Office(2005–2013),9.0,551945
Rick and Morty(2013– ),9.2,480566
Modern Family(2009–2020),8.5,413304
Suits(2011–2019),8.5,398529
The Simpsons(1989– ),8.7,397281
South Park(1997– ),8.7,361629
Family Guy(1999– ),8.2,329634
Seinfeld(1989–1998),8.9,306126
Arrested Development(2003–2019),8.7,299223
Brooklyn Nine-Nine(2013–2021),8.4,297698
WandaVision(2021),7.9,297394
Orange Is the New Black(2013–2019),8.1,296967
Sex Education(2019– ),8.4,264016
Two and a Half Men(2003–2015),7.1,258527
Community(2009–2015),8.5,255287
Scrubs(2001–2010),8.4,252242
Parks and Recreation(2009–2015),8.6,250078
Futurama(1999–2023),8.5,232059
Shameless(2011–2021),8.6,231970
Its Always Sunny in Philadelphia(2005– ),8.8,218435
New Girl(2011–2018),7.7,217838
The Umbrella Academy(2019–2022),8.0,210333
Ted Lasso(2020– ),8.8,184413
The End of the F***ing World(2017–2019),8.1,180274
Californication(2007–2014),8.3,179364
Entourage(2004–2011),8.5,167257
That 70s Show(1998–2006),8.1,167048
Cobra Kai(2018– ),8.6,165603
Castle(2009–2016),8.1,159636
Fullmetal Alchemist: Brotherhood(2009–2012),9.1,158762
Bones(2005–2017),7.8,154833
Love Death & Robots(2019– ),8.4,154049
Archer(2009– ),8.6,151642
The Good Place(2016–2020),8.2,151102
One Punch Man: Wanpanman(2015–2019),8.7,150447
The IT Crowd(2006–2013),8.5,148724
Glee(2009–2015),6.8,146361
BoJack Horseman(2014–2020),8.8,146155
Silicon Valley(2014–2019),8.5,145356
Fleabag(2016–2019),8.7,142620
Freaks and Geeks(1999–2000),8.8,140214
This Is Us(2016–2022),8.7,137961
Chuck(2007–2012),8.2,136400
Six Feet Under(2001–2005),8.7,132778
The Fresh Prince of Bel-Air(1990–1996),7.9,132619
After Life(2019–2022),8.4,129935
White Collar(2009–2014),8.3,129329
Seinfeld(1989–1998),8.9,306126
Avatar: The Last Airbender(2005–2008),9.3,300934
Arrested Development(2003–2019),8.7,299223
Brooklyn Nine-Nine(2013–2021),8.4,297698
WandaVision(2021),7.9,297394
Orange Is the New Black(2013–2019),8.1,296967
Greys Anatomy(2005– ),7.6,296792
Ozark(2017–2022),8.5,294257
Aspirants(2021– ),9.3,294015
Sons of Anarchy(2008–2014),8.6,289783
Loki(2021– ),8.2,288443
13 Reasons Why(2017–2020),7.5,284356
Mindhunter(2017–2019),8.6,272367
Sex Education(2019– ),8.4,264016
Firefly(2002–2003),9.0,261018
Two and a Half Men(2003–2015),7.1,258527
Community(2009–2015),8.5,255287
Scrubs(2001–2010),8.4,252242
Parks and Recreation(2009–2015),8.6,250078
Hannibal(2013–2015),8.5,249544
The 100(2014–2020),7.6,244149
True Blood(2008–2014),7.9,242387
The Blacklist(2013– ),8.0,241196
Heroes(II) (2006–2010),7.6,239081
Spartacus(2010–2013),8.5,238136
Fringe(2008–2013),8.4,237660
Mad Men(2007–2015),8.7,233168
Futurama(1999–2023),8.5,232059
Shameless(2011–2021),8.6,231970
The Haunting of Hill House(2018),8.6,229625
You(2018– ),7.7,228167
Gotham(2014–2019),7.8,227097
The Punisher(2017–2019),8.5,223151
Once Upon a Time(2011–2018),7.7,221253
Doctor Who(2005– ),8.6,219684
The X Files(1993–2018),8.6,219129
The Handmaids Tale(2017– ),8.4,218510
Its Always Sunny in Philadelphia(2005– ),8.8,218435
New Girl(2011–2018),7.7,217838
Agents of S.H.I.E.L.D.(2013–2020),7.5,214522
The Umbrella Academy(2019–2022),8.0,210333
Jessica Jones(2015–2019),7.9,210196
The Falcon and the Winter Soldier(2021),7.2,202862
Downton Abbey(2010–2015),8.7,200822
Planet Earth(2006),9.4,200027
Twin Peaks(1990–1991),8.8,193338
The Crown(2016– ),8.7,192805
Criminal Minds(2005–2020),8.1,191047
Big Little Lies(2017–2019),8.5,190927
Boardwalk Empire(2010–2014),8.6,186067
Ted Lasso(2020– ),8.8,184413
24(2001–2010),8.4,183920
Arcane(2021– ),9.1,182288
The Mentalist(2008–2015),8.1,180973
The End of the F***ing World(2017–2019),8.1,180274
Californication(2007–2014),8.3,179364
Moon Knight(2022),7.4,177233
Person of Interest(2011–2016),8.5,173708
Gossip Girl(2007–2012),7.4,170665
Rome(2005–2007),8.7,168273
Entourage(2004–2011),8.5,167257
That 70s Show(1998–2006),8.1,167048
Cobra Kai(2018– ),8.6,165603
The Heroes(2008– ),9.4,164830
Pretty Little Liars(2010–2017),7.4,164010
Altered Carbon(2018–2020),7.9,163808
Battlestar Galactica(2004–2009),8.7,163629
Euphoria(2019– ),8.4,162803
Hawkeye(2021),7.6,162041
Castle(2009–2016),8.1,159636
Fullmetal Alchemist: Brotherhood(2009–2012),9.1,158762
Outlander(2014– ),8.4,155007
Bones(2005–2017),7.8,154833
Love Death & Robots(2019– ),8.4,154049
Sense8(2015–2018),8.2,152303
Archer(2009– ),8.6,151642
The Good Place(2016–2020),8.2,151102
One Punch Man: Wanpanman(2015–2019),8.7,150447
The IT Crowd(2006–2013),8.5,148724
The Expanse(2015–2022),8.5,148307
How to Get Away with Murder(2014–2020),8.1,147802
Glee(2009–2015),6.8,146361
BoJack Horseman(2014–2020),8.8,146155
The Night Of(2016),8.5,145692
Silicon Valley(2014–2019),8.5,145356
Mare of Easttown(2021),8.5,144921
Buffy the Vampire Slayer(1997–2003),8.3,143893
Teen Wolf(2011–2017),7.7,143864
NCIS: Naval Criminal Investigative Service(2003– ),7.8,142721
Fleabag(2016–2019),8.7,142620
Freaks and Geeks(1999–2000),8.8,140214
Riverdale(2017–2022),6.6,140180
Scam 1992: The Harshad Mehta Story(2020),9.3,140014
This Is Us(2016–2022),8.7,137961
Chuck(2007–2012),8.2,136400
Spartacus: Gods of the Arena(2011),8.5,135733
Taboo(2017– ),8.4,134658
Luther(2010–2019),8.4,134461
Planet Earth II(2016),9.5,133724
Six Feet Under(2001–2005),8.7,132778
